voter,created,choice/1,choice/39,choice/37,choice/3,choice/7,choice/11,choice/19,choice/27,choice/34,choice/40,choice/6,choice/10,choice/2,choice/9,choice/17,choice/21,choice/25,choice/31,choice/35,choice/41,choice/42,choice/5,choice/13,choice/24,choice/15,choice/23,choice/29,choice/33,choice/30,choice/32,choice/14,choice/18,choice/20,choice/28,choice/36,choice/4,choice/16,choice/38
0xCe7BE31f48205C48A91A84E777a66252Bba87F0b,1636415781,6,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x5066Fbe092caee0d19Ddd0B3302eA4e925726F80,1636415753,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xe16aeE13e6a7bA2d2f5Bf338F8b063C33Ff8ff87,1636414806,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xb821A211957E317aF957b28e7292b27a8f9A3b73,1636414684,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x2da922CBeB06c377741a51dDc85c735429Bc2965,1636413869,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xf3a7ACf685c737B632Ffe4265BB9094C25cF8Ac4,1636413433,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x1Daf0b27e0F54a235abb5D52D276033394Eb8F49,1636413393,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xe58A959443dFeb71fb175746bc095dB0f4bd7F34,1636413315,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x2C66B887c6d732cC0292Bd17503cDf6190c97FA0,1636413250,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x6b0e3F389e97eE7d1Ac658699f8Da8CdEF8dC160,1636413195,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xA95cCef9561842495E7538d0dD97cE1ABF0a5242,1636412978,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x096b4d5776D44CAE05880e0703C9958b08B11F39,1636412876,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xFc2400FBF265f1fFbE319C7949f58a9a3D388B96,1636412672,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
0xa377b5AF83fF07387d8f5c9ffAc55C9c2d507755,1636412608,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xd36021060157B1Ba387630C91bE45A087CF9AC58,1636412520,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
0x7032C3E45d14FbdC93Df98b6e871b3FE4Dae7827,1636412394,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x9012eEE622e771057863998Ca26c8F45b3BDDb1a,1636410461,,,3205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x1EC1CcEF3e1735bdA3F4BA698e8a524AA7c93274,1636409833,,1,,,1,2,2,1,,,,,,1,1,1,1,1,2,2,,,,,,,,,,,,,,,,,,
0xE0dc24A3d7478eB840dC63baa20fcB06cdB123BE,1636409801,,,,,,,,,,,55000,248000,,,,,,,,,1,,,,,,,,,,,,,,,,,
0xA37De111022BE90A5ba966906c6C610f787bA3d6,1636409737,,,,2,3,2,7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
0x81e80B838e04644a93e4F3C701038889d3a1b95e,1636409719,1,23,,,1,3,1,1,,,,,,1,1,1,,2,1,2,,1,1,,,,,,,,,,,,,,,
0x36f741F4808a329C9E876F551Bcf337B7dDc54Ff,1636409691,1,23,,,1,3,1,1,,,,,,1,1,1,,2,1,2,,1,1,,,,,,,,,,,,,,,
0x1578407965a00d5A8C7aeE46b7DF6f9a1bEdC311,1636409572,,,,,,,,,,,133000,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xFefE74202C45c34045Ac4A3270A2Ce84629109B0,1636409567,,,,,,,,,,,,,,,,,,,,,,,,80000,,,,,,,,,,,,,,
0xbD1eF9F9c500aa2828b918a769B03F18C3d5545f,1636408003,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xc76357B8A519E617e3FD76494c9E8538930d6078,1636407516,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
0xe6E3459bA0d70699F54464cc4b5d273810E7EC7B,1636407282,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x12BD31628075C20919BA838b89F414241b8c4869,1636406930,,,,,1,1,1,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,
0x5bA017cC1093292238CD4C7B204AA33082463544,1636406730,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x2F94d8479DE67B01514856Df271E52Ed1f6446E6,1636406504,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xF9ac73f30dBe52c10e3d5950db66357f9d0be44D,1636402645,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
0xD0a2813A5d4fB68e2192d04fF9e1c6A72A9285e8,1636402625,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
0xF40b005FFE2Db0197b8c301e1C966C2cb3B59A08,1636402579,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
0xcA3b7E1312Ad020C058eF4942e3f33fFe6fD7b5c,1636402558,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
0xFc1a540517fB09d967B5fb22c63F975B1e729D4C,1636402543,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
0x15b5359fd05A37ba6546AaCabe92D9354aD18D07,1636402524,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
0x15558eb2aEb93ed561515a47441BF49250933BA9,1636396191,1,1,1,1,1,1,1,1,,,,,,1,1,1,1,1,1,1,,1,1,,1,1,1,,,,,,,,,,,
0x26E4674c09CBbf0b367aae65d8d08b112E307A53,1636395539,,,,,,,,,,,,,,,,,1,180000,,,,,40000,,,,180000,,,,,,,,,,,
0xe151E8BE121864EDDB83E7D0484b87596cAD2fA5,1636394102,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
0xf92d2Ff667F905EC34396af4769ff6D04E7ec84e,1636393750,,,,,,,,,,,,,,350000,,,1,,,,,150000,,,,,,,,,,,,,,,,
0xf8388c804061d08b757BAef8d9bB5f9eF8BA90D1,1636389101,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
0x5D2B315C465e133a346C960F46f5AA1ED88a3179,1636388956,,,,,2,2,,,,,,,,,,2,,,2,,,,,,,,,,,,,,,,,,,
0x6576dcd9F751C99adb07411B22dDda0be7FfE420,1636386320,,,,,,,,,,,,,,,,,,,,10000,,,,,,,,,,,,,,,,,,
